"cell","distance","dendriteLength","spineNumber","spineDensity"
"G5 C1","0-149","1858","2087.8","8.89931985822397"
"G5 C1","150-299","1893","1800.6","10.5131622792403"
"G5 C1","300-499","212","182.9","11.5910333515582"
"G5 C1","500+","0","0","NaN"
"G6 C1","0-149","314","443.9","7.0736652399189"
"G6 C1","150-299","1174","2128","5.51691729323308"
"G6 C1","300-499","926","1422.8","6.50829350576328"
"G6 C1","500+","203","302.4","6.71296296296296"
"G6 C2","0-149","109","197.9","5.5078322385043"
"G6 C2","150-299","153","325.7","4.69757445501996"
"G6 C2","300-499","814","1939.8","4.19630889782452"
"G6 C2","500+","1452","3123.5","4.64863134304466"
"G7 C3","0-149","2244","1905.5","11.7764366308056"
"G7 C3","150-299","2856","2306.9","12.3802505526898"
"G7 C3","300-499","1168","1459.9","8.00054798273854"
"G7 C3","500+","284","567.1","5.00793510844648"
